InicioSemana,Strength,Number of AR detected,dB
2010-12-27,0.0,1.0,0.0
2011-01-03,0.0,0.0,0.0
2011-01-10,0.0,1.0,0.0
2011-01-17,0.0,0.0,0.0
2011-01-24,0.0,1.0,0.0
2011-01-31,0.0,0.0,0.0
2011-02-07,0.0,0.0,0.0
2011-02-14,0.0,1.0,0.0
2011-02-21,508.57142857142856,2.0,208.9520781505547
2011-02-28,196.94444444444449,1.0,96.01523623019465
2011-03-07,0.0,3.0,0.0
2011-03-14,0.0,0.0,0.0
2011-03-21,1481.181818181818,4.0,436.83313402361324
2011-03-28,424.5625,1.0,205.39182027790864
2011-04-04,157.625,3.0,135.46985489378116
2011-04-11,0.0,2.0,0.0
2011-04-18,0.0,3.0,0.0
2011-04-25,534.8,1.0,266.3099485212766
2011-05-02,438.3636363636364,0.0,192.70414596530784
2011-05-09,266.75,0.0,136.23209881456754
2011-05-16,0.0,3.0,0.0
2011-05-23,0.0,2.0,0.0
2011-05-30,354.625,5.0,241.60967270202048
2011-06-06,0.0,1.0,0.0
2011-06-13,1040.842105263158,2.0,439.2634086320318
2011-06-20,0.0,0.0,0.0
2011-06-27,0.0,1.0,0.0
2011-07-04,0.0,1.0,0.0
2011-07-11,520.2857142857143,3.0,270.546392505556
2011-07-18,0.0,1.0,0.0
2011-07-25,0.0,3.0,0.0
2011-08-01,0.0,0.0,0.0
2011-08-08,0.0,0.0,0.0
2011-08-15,0.0,3.0,0.0
2011-08-22,483.8181818181818,3.0,237.1280851550681
2011-08-29,0.0,3.0,0.0
2011-09-05,628.6153846153846,1.0,321.7937021587986
2011-09-12,1297.2,3.0,550.7773632185277
2011-09-19,1789.0833333333333,2.0,611.9690330852985
2011-09-26,2417.4364973262036,3.0,629.251285848919
2011-10-03,2796.8,3.0,862.6468012181814
2011-10-10,563.25,3.0,240.3785109853981
2011-10-17,1471.9153846153847,3.0,629.0472646081894
2011-10-24,1002.5619047619048,1.0,413.6146273179931
2011-10-31,1841.190476190476,6.0,644.2033007440237
2011-11-07,998.031475748194,2.0,332.4189527934872
2011-11-14,2476.3983766233764,6.0,699.2978830656803
2011-11-21,0.0,2.0,0.0
2011-11-28,3220.2606837606836,4.0,798.6863279313136
2011-12-05,285.55555555555554,3.0,199.51811428588064
2011-12-12,650.7826086956521,1.0,249.0928388229744
2011-12-19,937.966386554622,3.0,391.4550169614411
2011-12-26,1533.4272727272728,2.0,441.5041207913255
